cardno,name,expansion
DZ-SS16/023,イメージしろ！マリレーンとのチェキ会を！ ダウナーお姉さん,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/029,重蝕望縁 グラヴェル＆オルグス,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/041,エンディアリング・ベンダー メイティーナ,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/FFR19,イメージしろ！マリレーンとのチェキ会を！ ダウナーお姉さん,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/FFR22,重蝕望縁 グラヴェル＆オルグス,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/LG29,腹時計付きのギアラビット,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/Re06,装旋竜 バズゾール,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/Re14,紅灯の魔道士 ラムプリート,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/Re17,刺衝の奇術師 ニルフェード,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/Re29,縦長顕札の女魔術師,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/Re30,竜へ至る旅路,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/Re40,一度きりのこの夏を リンナ,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/SR27,腹時計付きのギアラビット,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/SR56,重蝕望縁 グラヴェル＆オルグス,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS16/T01,星域,ブースターパック 【DZ-SS16】「伝説の先導者達」 2026/05/15(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ コロコロ（特別収録）
DZ-SS15/013,再起の竜神王 ドラグヴェーダ,構築済みデッキ 【DZ-SS15】「ぶっちぎりスタートデッキ　帝国の暴竜」 2026/02/26(木) 発売 収録国家：ドラゴンエンパイア
DZ-SS15/013R,再起の竜神王 ドラグヴェーダ,構築済みデッキ 【DZ-SS15】「ぶっちぎりスタートデッキ　帝国の暴竜」 2026/02/26(木) 発売 収録国家：ドラゴンエンパイア
DZ-BT13/006,決意と罪を抱く者 リィエル゠アニムス,ブースターパック 【DZ-BT13】「幻真星戦」 2026/02/13(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ
DZ-BT13/021,再起の竜神王 ドラグヴェーダ,ブースターパック 【DZ-BT13】「幻真星戦」 2026/02/13(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ
DZ-BT13/064,柩機の竜 エンバイロ,ブースターパック 【DZ-BT13】「幻真星戦」 2026/02/13(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、リリカルモナステリオ
